owner_type	owner_id	product_id	product_handle	product_title	product_type	product_vendor	product_status	product_updated_at	variant_id	variant_title	variant_sku	template_type	fragrance_type	concentration_percent	ufi_code	product_identifier	signal_word	pictograms	contains	h_statements	p_statements	euh_statements	net_quantity_default	net_weight_grams	extra_warning	source_product_url	source_sds_url	source_ifra_url	source_usage_candle	source_usage_reed_diffuser	source_usage_room_spray	notes
variant	gid://shopify/ProductVariant/51428219093323	gid://shopify/Product/10517616001355	spiced-apple-cinnamon-fragrance-oil	Spiced Apple & Cinnamon Fragrance Oil		Aroma + Wax	ACTIVE	2026-03-25T06:37:33Z	gid://shopify/ProductVariant/51428219093323	10g	FO-101-001		Fragrance oil		HPP5-CVY6-DC1G-EV4Q	Spiced Apple & Cinnamon Fragrance Oil	Warning	["GHS07","GHS09"]	["COUMARIN","Eugenol","Methyl cinnamate","Cinnamic aldehyde","Iso E Super","Clove leaf oil","Eucalyptus oil","Linalyl acetate","Triplal (Vertocitral)","Linalool"]	["H302 - Harmful if swallowed.","H315 - Causes skin irritation.","H317 - May cause an allergic skin reaction.","H319 - Causes serious eye irritation.","H411 - Toxic to aquatic life with long lasting effects."]	["P261 - Avoid breathing dust/fume/gas/mist/vapours/spray.","P264 - Wash hands, forearms and face thoroughly after handling.","P270 - Do not eat, drink or smoke when using this product.","P272 - Contaminated work clothing should not be allowed out of the workplace.","P273 - Avoid release to the environment.","P280 - Wear protective gloves/protective clothing/eye protection/face protection/hearing protection."]	[]				SDS 2023-05-15; IFRA max: Cat10A 10.54189389%, Cat10B 32.43659659%, Cat12 100%.						
variant	gid://shopify/ProductVariant/51428219126091	gid://shopify/Product/10517616001355	spiced-apple-cinnamon-fragrance-oil	Spiced Apple & Cinnamon Fragrance Oil		Aroma + Wax	ACTIVE	2026-03-25T06:37:33Z	gid://shopify/ProductVariant/51428219126091	50g	FO-101-005		Fragrance oil		HPP5-CVY6-DC1G-EV4Q	Spiced Apple & Cinnamon Fragrance Oil	Warning	["GHS07","GHS09"]	["COUMARIN","Eugenol","Methyl cinnamate","Cinnamic aldehyde","Iso E Super","Clove leaf oil","Eucalyptus oil","Linalyl acetate","Triplal (Vertocitral)","Linalool"]	["H302 - Harmful if swallowed.","H315 - Causes skin irritation.","H317 - May cause an allergic skin reaction.","H319 - Causes serious eye irritation.","H411 - Toxic to aquatic life with long lasting effects."]	["P261 - Avoid breathing dust/fume/gas/mist/vapours/spray.","P264 - Wash hands, forearms and face thoroughly after handling.","P270 - Do not eat, drink or smoke when using this product.","P272 - Contaminated work clothing should not be allowed out of the workplace.","P273 - Avoid release to the environment.","P280 - Wear protective gloves/protective clothing/eye protection/face protection/hearing protection."]	[]				SDS 2023-05-15; IFRA max: Cat10A 10.54189389%, Cat10B 32.43659659%, Cat12 100%.						
variant	gid://shopify/ProductVariant/51827838157131	gid://shopify/Product/10517616001355	spiced-apple-cinnamon-fragrance-oil	Spiced Apple & Cinnamon Fragrance Oil		Aroma + Wax	ACTIVE	2026-03-25T06:37:33Z	gid://shopify/ProductVariant/51827838157131	120g	FO-101-012		Fragrance oil		HPP5-CVY6-DC1G-EV4Q	Spiced Apple & Cinnamon Fragrance Oil	Warning	["GHS07","GHS09"]	["COUMARIN","Eugenol","Methyl cinnamate","Cinnamic aldehyde","Iso E Super","Clove leaf oil","Eucalyptus oil","Linalyl acetate","Triplal (Vertocitral)","Linalool"]	["H302 - Harmful if swallowed.","H315 - Causes skin irritation.","H317 - May cause an allergic skin reaction.","H319 - Causes serious eye irritation.","H411 - Toxic to aquatic life with long lasting effects."]	["P261 - Avoid breathing dust/fume/gas/mist/vapours/spray.","P264 - Wash hands, forearms and face thoroughly after handling.","P270 - Do not eat, drink or smoke when using this product.","P272 - Contaminated work clothing should not be allowed out of the workplace.","P273 - Avoid release to the environment.","P280 - Wear protective gloves/protective clothing/eye protection/face protection/hearing protection."]	[]				SDS 2023-05-15; IFRA max: Cat10A 10.54189389%, Cat10B 32.43659659%, Cat12 100%.						
variant	gid://shopify/ProductVariant/51428219158859	gid://shopify/Product/10517616001355	spiced-apple-cinnamon-fragrance-oil	Spiced Apple & Cinnamon Fragrance Oil		Aroma + Wax	ACTIVE	2026-03-25T06:37:33Z	gid://shopify/ProductVariant/51428219158859	450g	FO-101-045		Fragrance oil		HPP5-CVY6-DC1G-EV4Q	Spiced Apple & Cinnamon Fragrance Oil	Warning	["GHS07","GHS09"]	["COUMARIN","Eugenol","Methyl cinnamate","Cinnamic aldehyde","Iso E Super","Clove leaf oil","Eucalyptus oil","Linalyl acetate","Triplal (Vertocitral)","Linalool"]	["H302 - Harmful if swallowed.","H315 - Causes skin irritation.","H317 - May cause an allergic skin reaction.","H319 - Causes serious eye irritation.","H411 - Toxic to aquatic life with long lasting effects."]	["P261 - Avoid breathing dust/fume/gas/mist/vapours/spray.","P264 - Wash hands, forearms and face thoroughly after handling.","P270 - Do not eat, drink or smoke when using this product.","P272 - Contaminated work clothing should not be allowed out of the workplace.","P273 - Avoid release to the environment.","P280 - Wear protective gloves/protective clothing/eye protection/face protection/hearing protection."]	[]				SDS 2023-05-15; IFRA max: Cat10A 10.54189389%, Cat10B 32.43659659%, Cat12 100%.						
variant	gid://shopify/ProductVariant/51428219191627	gid://shopify/Product/10517616001355	spiced-apple-cinnamon-fragrance-oil	Spiced Apple & Cinnamon Fragrance Oil		Aroma + Wax	ACTIVE	2026-03-25T06:37:33Z	gid://shopify/ProductVariant/51428219191627	2kg	FO-101-200		Fragrance oil		HPP5-CVY6-DC1G-EV4Q	Spiced Apple & Cinnamon Fragrance Oil	Warning	["GHS07","GHS09"]	["COUMARIN","Eugenol","Methyl cinnamate","Cinnamic aldehyde","Iso E Super","Clove leaf oil","Eucalyptus oil","Linalyl acetate","Triplal (Vertocitral)","Linalool"]	["H302 - Harmful if swallowed.","H315 - Causes skin irritation.","H317 - May cause an allergic skin reaction.","H319 - Causes serious eye irritation.","H411 - Toxic to aquatic life with long lasting effects."]	["P261 - Avoid breathing dust/fume/gas/mist/vapours/spray.","P264 - Wash hands, forearms and face thoroughly after handling.","P270 - Do not eat, drink or smoke when using this product.","P272 - Contaminated work clothing should not be allowed out of the workplace.","P273 - Avoid release to the environment.","P280 - Wear protective gloves/protective clothing/eye protection/face protection/hearing protection."]	[]				SDS 2023-05-15; IFRA max: Cat10A 10.54189389%, Cat10B 32.43659659%, Cat12 100%.						
variant	gid://shopify/ProductVariant/51842625536331	gid://shopify/Product/10623858606411	golden-waxtm-464-container-soy-wax	Golden Wax™ 464 Сontainer Wax		Aroma + Wax	ACTIVE	2026-03-26T11:11:50Z	gid://shopify/ProductVariant/51842625536331	1 kg	WX-GW464-010					Golden Wax™ 464 Сontainer Wax		[]	[]	[]	[]	[]										
variant	gid://shopify/ProductVariant/51842625569099	gid://shopify/Product/10623858606411	golden-waxtm-464-container-soy-wax	Golden Wax™ 464 Сontainer Wax		Aroma + Wax	ACTIVE	2026-03-26T11:11:50Z	gid://shopify/ProductVariant/51842625569099	5 kg	WX-GW464-050					Golden Wax™ 464 Сontainer Wax		[]	[]	[]	[]	[]										
variant	gid://shopify/ProductVariant/51842625601867	gid://shopify/Product/10623858606411	golden-waxtm-464-container-soy-wax	Golden Wax™ 464 Сontainer Wax		Aroma + Wax	ACTIVE	2026-03-26T11:11:50Z	gid://shopify/ProductVariant/51842625601867	16 kg	WX-GW464-160					Golden Wax™ 464 Сontainer Wax		[]	[]	[]	[]	[]										
variant	gid://shopify/ProductVariant/51843156902219	gid://shopify/Product/10624223314251	siberian-cedar-and-bergamot-fragrance-oil	Siberian Cedar & Bergamot Fragrance Oil		Aroma + Wax	ACTIVE	2026-03-24T20:27:37Z	gid://shopify/ProductVariant/51843156902219	10g	FO-102-001		Fragrance oil		5SP5-VVNK-QC10-26QS	Siberian Cedar & Bergamot Fragrance Oil	Warning	["GHS07","GHS09"]	["Fir Needle oil, Siberian","Vertenex","Linalyl acetate","Cedar leaf oil","Triplal (Vertocitral)","4,7- Methano-1H-indene-2-carboxaldehyde, octahydro-5-methoxy-","Aldehyde C-12"]	["H317 - May cause an allergic skin reaction.","H411 - Toxic to aquatic life with long lasting effects."]	["P261 - Avoid breathing dust/fume/gas/mist/vapours/spray.","P272 - Contaminated work clothing should not be allowed out of the workplace.","P273 - Avoid release to the environment.","P280 - Wear protective gloves/protective clothing/eye protection/face protection/hearing protection.","P302+P352 - IF ON SKIN: Wash with plenty of water.","P321 - Specific treatment (see supplemental first aid instruction on this label)."]	[]				https://aromawax.eu/products/siberian-cedar-and-bergamot-fragrance-oil	https://cdn.shopify.com/s/files/1/0878/9986/5419/files/SDS_EU_SIBERIAN_CEDAR_AND_BERGAMOT_FO-102.pdf?v=1748788472	https://cdn.shopify.com/s/files/1/0878/9986/5419/files/IFRA_SIBERIAN_CEDAR_AND_BERGAMOT_FO-102.pdf?v=1748791256	9-12%	Up to 25%	2-5%	AUTO_SOURCE_START\nproduct_url=https://aromawax.eu/products/siberian-cedar-and-bergamot-fragrance-oil\nsds_url=https://cdn.shopify.com/s/files/1/0878/9986/5419/files/SDS_EU_SIBERIAN_CEDAR_AND_BERGAMOT_FO-102.pdf?v=1748788472\nifra_url=https://cdn.shopify.com/s/files/1/0878/9986/5419/files/IFRA_SIBERIAN_CEDAR_AND_BERGAMOT_FO-102.pdf?v=1748791256\nusage_candle=9-12%\nusage_reed_diffuser=Up to 25%\nusage_room_spray=2-5%\nifra_category_10A=100%\nifra_category_10B=100%\nifra_category_12=100%\nAUTO_SOURCE_END
variant	gid://shopify/ProductVariant/51843156934987	gid://shopify/Product/10624223314251	siberian-cedar-and-bergamot-fragrance-oil	Siberian Cedar & Bergamot Fragrance Oil		Aroma + Wax	ACTIVE	2026-03-24T20:27:37Z	gid://shopify/ProductVariant/51843156934987	50g	FO-102-005		Fragrance oil		5SP5-VVNK-QC10-26QS	Siberian Cedar & Bergamot Fragrance Oil	Warning	["GHS07","GHS09"]	["Fir Needle oil, Siberian","Vertenex","Linalyl acetate","Cedar leaf oil","Triplal (Vertocitral)","4,7- Methano-1H-indene-2-carboxaldehyde, octahydro-5-methoxy-","Aldehyde C-12"]	["H317 - May cause an allergic skin reaction.","H411 - Toxic to aquatic life with long lasting effects."]	["P261 - Avoid breathing dust/fume/gas/mist/vapours/spray.","P272 - Contaminated work clothing should not be allowed out of the workplace.","P273 - Avoid release to the environment.","P280 - Wear protective gloves/protective clothing/eye protection/face protection/hearing protection.","P302+P352 - IF ON SKIN: Wash with plenty of water.","P321 - Specific treatment (see supplemental first aid instruction on this label)."]	[]				https://aromawax.eu/products/siberian-cedar-and-bergamot-fragrance-oil	https://cdn.shopify.com/s/files/1/0878/9986/5419/files/SDS_EU_SIBERIAN_CEDAR_AND_BERGAMOT_FO-102.pdf?v=1748788472	https://cdn.shopify.com/s/files/1/0878/9986/5419/files/IFRA_SIBERIAN_CEDAR_AND_BERGAMOT_FO-102.pdf?v=1748791256	9-12%	Up to 25%	2-5%	AUTO_SOURCE_START\nproduct_url=https://aromawax.eu/products/siberian-cedar-and-bergamot-fragrance-oil\nsds_url=https://cdn.shopify.com/s/files/1/0878/9986/5419/files/SDS_EU_SIBERIAN_CEDAR_AND_BERGAMOT_FO-102.pdf?v=1748788472\nifra_url=https://cdn.shopify.com/s/files/1/0878/9986/5419/files/IFRA_SIBERIAN_CEDAR_AND_BERGAMOT_FO-102.pdf?v=1748791256\nusage_candle=9-12%\nusage_reed_diffuser=Up to 25%\nusage_room_spray=2-5%\nifra_category_10A=100%\nifra_category_10B=100%\nifra_category_12=100%\nAUTO_SOURCE_END
